name,label,concept
B27010_002,Estimate!!Total:!!Under 19 years:,Types of Health Insurance Coverage by Age
B27010_003,Estimate!!Total:!!Under 19 years:!!With one type of health insurance coverage:,Types of Health Insurance Coverage by Age
B27010_010,Estimate!!Total:!!Under 19 years:!!With two or more types of health insurance coverage:,Types of Health Insurance Coverage by Age
B27010_017,Estimate!!Total:!!Under 19 years:!!No health insurance coverage,Types of Health Insurance Coverage by Age
B27010_018,Estimate!!Total:!!19 to 34 years:,Types of Health Insurance Coverage by Age
B27010_019,Estimate!!Total:!!19 to 34 years:!!With one type of health insurance coverage:,Types of Health Insurance Coverage by Age
B27010_026,Estimate!!Total:!!19 to 34 years:!!With two or more types of health insurance coverage:,Types of Health Insurance Coverage by Age
B27010_033,Estimate!!Total:!!19 to 34 years:!!No health insurance coverage,Types of Health Insurance Coverage by Age
B27010_034,Estimate!!Total:!!35 to 64 years:,Types of Health Insurance Coverage by Age
B27010_035,Estimate!!Total:!!35 to 64 years:!!With one type of health insurance coverage:,Types of Health Insurance Coverage by Age
B27010_042,Estimate!!Total:!!35 to 64 years:!!With two or more types of health insurance coverage:,Types of Health Insurance Coverage by Age
B27010_050,Estimate!!Total:!!35 to 64 years:!!No health insurance coverage,Types of Health Insurance Coverage by Age
B27010_051,Estimate!!Total:!!65 years and over:,Types of Health Insurance Coverage by Age
B27010_052,Estimate!!Total:!!65 years and over:!!With one type of health insurance coverage:,Types of Health Insurance Coverage by Age
B27010_058,Estimate!!Total:!!65 years and over:!!With two or more types of health insurance coverage:,Types of Health Insurance Coverage by Age
B27010_066,Estimate!!Total:!!65 years and over:!!No health insurance coverage,Types of Health Insurance Coverage by Age
